									
									
	OC-QF	1997-08-26	A	Long Island	1-0	W		Harty (Donadoni) 105	Tony Meola, Mark Semioli, Rhett Harty, Branco, Brian Bliss, Manny Lagos, (Mike Sorber 46), Roberto Donadoni, Tab Ramos, Miles Joseph (Brian Kelly 88), Giovanni Savarese, Antony De Avila (Shaun Bartlett 69)
	24	1997-08-29	H	San Jose	3-0	W	9-15	Donadoni (Joseph) 41; Savarese (Donadoni) 48; Savarese (De Avila, Bliss) 54	Tony Meola, Brian Bliss, Branco, Rhett Harty, Mark Semioli (Kerry Zavagnin 74), Roberto Donadoni (Brian Kelly 68), Tab Ramos, Mike Sorber, Antony De Avila, Miles Joseph, Giovanni Savarese (Shaun Bartlett 66) 
	OC-SF	1997-09-02	N	Dallas	1-2	L		Branco (unassisted) 85	Tony Meola, Mark Semioli (Kerry Zavagnin 63), Rhett Harty, Branco, Brian Bliss, Manny Lagos (Shaun Bartlett 63), Roberto Donadoni, Brian Kelly, Miles Joseph (Cristian da Silva 101), Giovanni Savarese, Antony De Avila
	25	1997-09-04	A	Los Angeles	3-1	W	10-15	De Avila (Joseph) 28; Branco (unassisted) 38; Bartlett (Semioli) 68	Tony Meola, Branco (Brian Bliss 53), Rhett Harty, Andrew Lewis, Mark Semioli, Kerry Zavagnin (Roberto Donadoni 46), Brian Kelly, Manuel Lagos, Shaun Bartlett, Antony De Avila (Giovanni Savarese 74), Miles Joseph 
	26	1997-09-06	A	San Jose	0-4	L	10-16		Tony Meola, Brian Bliss, Branco (sent off 66), Rhett Harty (Andrew Lewis 64), Mark Semioli, Roberto Donadoni (Kerry Zavagnin 70), Brian Kelly (Cristian da Silva 64), Manuel Lagos, Shaun Bartlett, Miles Joseph, Giovanni Savarese 
	27	1997-09-09	H	New England	3-1	W	11-16	Semioli (Savarese, Ramos) 40; Bartlett (Lagos) 45; Savarese (Joseph, Donadoni) 74	Tony Meola, Brian Bliss, Andrew Lewis, Mark Semioli, Roberto Donadoni, Brian Kelly (Miles Joseph 61), Manuel Lagos, Tab Ramos, Mike Sorber, Shaun Bartlett, Giovanni Savarese 
	28	1997-09-12	A	Kansas City	0-0	W	12-16		Tony Meola, Brian Bliss (Cristian da Silva 89), Branco, Andrew Lewis, Mark Semioli, Roberto Donadoni, Brian Kelly, Tab Ramos, Mike Sorber, Shaun Bartlett (Miles Joseph 86), Giovanni Savarese 
	29	1997-09-16	H	Dallas	0-1	L	12-17		Tony Meola, Brian Bliss (Shaun Bartlett 46), Branco, Andrew Lewis, Mark Semioli, Roberto Donadoni, Brian Kelly, Tab Ramos (Miles Joseph 27), Mike Sorber, Antony De Avila, Giovanni Savarese
	30	1997-09-20	A	New England	2-3	L	12-18	De Avila (Joseph) 21; Semioli (Branco) 37	Tony Meola, Brian Bliss (Giovanni Savarese 73), Branco, Andrew Lewis, Mark Semioli, Roberto Donadoni, Tab Ramos, Mike Sorber, Shaun Bartlett, Antony De Avila, Miles Joseph (Brian Kelly 73)
	31	1997-09-25	H	Columbus	0-1	L	12-19		Tony Meola, Brian Bliss (Andrew Lewis 65), Branco (sent off 56), Mark Semioli, Roberto Donadoni, Brian Kelly, Manuel Lagos (Kerry Zavagnin 46), Mike Sorber, Shaun Bartlett (Giovanni Savarese 46), Antony De Avila, Miles Joseph 
	32	1997-09-28	A	DC United	3-1	W	13-19	Kelly (Savarese, Joseph) 57; Savarese (Kelly) 67; Joseph (De Avila, Savarese) 70	Zach Thornton, Cristian da Silva, Andrew Lewis, Mark Semioli, Kerry Zavagnin, Braeden Cloutier (Brian Bliss 72), Roberto Donadoni, Brian Kelly, Tab Ramos (Miles Joseph 8), Shaun Bartlett (Antony De Avila 63), Giovanni Savarese 
	1	1998-03-28	A	Los Angeles	2-3	L	0-1	Rooney, J. (Savarese, G, Dougherty, P.) 38; Savarese, G (Harty, R, Dougherty, P.) 58	Tony Meola, Rhett Harty, Jose Palacios, Alexi Lalas, Mark Semioli, Diego Sonora, Brian Kelly, Mike Sorber (Wellington Sanchez 81), Jim Rooney, Paul Dougherty, Giovanni Savarese
	2	1998-04-04	A	Kansas City	0-2	L	0-2		Tony Meola, Alexi Lalas, Rhett Harty, Mark Semioli (Kerry Zavagnin 59), Arley Palacios, Diego Sonora, Paul Dougherty, Brian Kelly (Mike Sorber 59), Jim Rooney, Giovanni Savarese, Eduardo Hurtado
	3	1998-04-11	H	Los Angeles	2-3	L	0-3	Rooney (Sonora, Hurtado) 43; Hurtado (Kelly, Sonora) 59	Tony Meola, Alexi Lalas, Arley Palacios (Brian Kelly 46), Mark Semioli, Jeff Zaun, Diego Sonora, Rhett Harty, Jim Rooney, Paul Dougherty (Mike Sorber 29), Eduardo Hurtado, Giovanni Savarese
